Resolution,RF in,J,operation,K,S,P,Resolution,RF out, Dept
224,1,1,Conv,7,2,3,112,7,1
112,7,2,MP,3,2,1,56,11,0
56,11,4,Conv,3,1,1,56,19,2
56,19,4,MP,3,2,1,28,27,0
28,27,8,Inception,5,1,2,28,59,2
28,59,8,Inception,5,1,2,28,91,2
28,91,8,MP,3,2,1,14,107,0
14,107,16,Inception,5,1,2,14,171,2
14,171235,16,Inception,5,1,2,14,235,2
14,299,16,Inception,5,1,2,14,299,2
14,363,16,Inception,5,1,2,14,363,2
14,427,16,Inception,5,1,2,14,427,2
14,459,16,MP,3,2,1,7,459,0
7,587,32,Inception,5,1,2,7,587,2
7,715,32,Inception,5,1,2,7,715,2
7,,32,Avg Pool,7,1,0,1,907,0
,,,Flatten,,,,,,1
,,,,,,,,,
,,,Total Layers,,,,,,22
